dates,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
2022-04-15,58,56.1,55,46,41.7,39,68,58.4,54,2,1.1,0,30.0,29.9,29.9,0.00
2022-04-16,57,55.1,52,50,48.2,45,82,77.8,74,2,1.6,1,29.8,29.7,29.7,0.00
2022-04-17,54,51.9,50,49,48.2,47,90,86.7,83,5,1.7,0,29.6,29.6,29.5,0.00
2022-04-18,53,50.8,49,49,48.1,47,95,90.8,85,23,15.9,3,29.5,29.4,29.4,0.03
2022-04-19,48,47.3,47,46,45.0,44,95,92.1,90,6,2.4,0,29.6,29.6,29.6,0.04
2022-04-20,55,53.1,51,47,45.2,44,78,74.4,70,8,3.1,0,29.9,29.8,29.8,0.04
2022-04-21,55,51.8,51,47,45.7,45,81,79.0,74,43,28.3,6,29.9,29.8,29.7,0.00
2022-04-22,61,56.7,51,49,46.1,42,81,68.1,58,3,1.1,0,29.8,29.8,29.8,0.00
2022-04-23,58,55.9,53,51,50.4,49,86,82.1,79,6,3.1,1,29.6,29.6,29.5,0.00
2022-04-24,67,64.2,61,54,52.1,50,69,65.0,57,5,1.5,0,29.7,29.7,29.6,0.00
2022-04-25,63,59.1,57,53,52.2,51,82,78.0,72,5,1.6,0,29.5,29.5,29.5,0.00
2022-04-26,64,60.6,57,53,52.2,51,83,74.0,66,3,1.6,0,29.7,29.7,29.6,0.00
2022-04-27,65,63.9,61,54,52.5,50,72,66.5,61,2,0.8,0,29.8,29.7,29.7,0.00
2022-04-28,64,61.1,57,55,53.7,52,87,76.7,69,3,1.3,0,29.8,29.8,29.7,0.00
2022-04-29,58,54.5,51,55,52.5,50,97,92.2,85,10,6.4,3,29.8,29.8,29.8,0.00
2022-04-30,57,54.6,52,54,52.2,51,94,91.9,89,6,2.8,0,29.8,29.8,29.8,0.00
2022-05-01,58,56.3,55,55,54.2,53,96,92.2,88,9,4.9,1,29.8,29.8,29.8,0.17
2022-05-02,61,58.9,56,54,52.3,49,82,78.7,73,3,1.7,1,29.8,29.8,29.7,0.03
2022-05-03,57,55.5,54,51,50.2,49,86,83.1,81,3,1.6,1,29.6,29.6,29.6,0.00
